;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20
v1;0; 4.0;59.2;103.3;62.6;65.1;58.9;59.5;72.6;75.2;113.9;62.0;71.8;81.3;34.0;73.9;4.8;59.3;134.9;126.8
v2;4.0;0;62.1;102.7;67.6;66.5;60.0;69.6;72.4;74.2;112.7;58.3;68.3;78.2;30.5;70.0;6.2;65.3;131.0;123.0
v3;59.2;62.1;0;55.7;9.7;13.6;14.1;25.5;29.1;36.5;68.8;17.1;17.4;22.2;26.2;33.2;56.2;31.1;84.9;74.6
v4;103.3;102.7;55.7;0;46.0;43.0;47.0;34.3;30.9;28.5;13.3;43.2;38.3;42.7;71.2;29.4;102.2;34.1;31.5;24.8
v5;62.6;67.6;9.7;46.0;0;5.2;10.0;17.1;20.4;28.1;59.1;10.8;7.7;17.0;31.6;24.7;63.0;23.5;75.4;65.3
v6;65.1;66.5;13.6;43.0;5.2;0;6.7;12.1;15.6;23.1;55.8;6.0;6.7;20.2;31.1;19.8;62.9;18.3;73.2;63.5
v7;58.9;60.0;14.1;47.0;10.0;6.7;0;13.3;17.1;23.6;59.4;3.9;13.4;26.7;25.1;20.6;56.9;17.6;77.9;68.8
v8;58.5;69.6;25.5;34.3;17.1;12.1;13.3;0;3.8;11.0;46.3;9.3;12.9;27.7;36.8;7.7;68.1;6.8;65.7;57.3
v9;72.6;72.4;29.1;30.9;20.4;15.6;17.1;3.8;0;7.7;42.6;13.1;15.3;29.3;40.3;4.3;71.3;5.7;62.4;54.3
v10;75.2;74.2;36.5;28.5;28.1;23.1;23.6;11.0;7.7;0;38.7;19.8;23.0;36.6;44.8;3.4;74.4;6.3;59.9;53.1
v11;113.9;112.7;68.8;13.3;59.1;55.8;59.4;46.3;42.6;38.7;0;55.5;51.5;56.4;82.8;40.3;113.1;37.1;23.1;21.8
v12;62.0;58.3;17.1;43.2;10.8;6.0;3.9;9.3;13.1;19.8;55.5;0;11.6;26.1;28.5;16.7;60.2;14.7;74.2;65.2
v13;71.8;68.3;17.4;38.3;7.7;6.7;13.4;12.9;15.3;23.0;51.5;11.6;0;15.1;37.8;19.6;69.6;19.8;67.6;57.6
v14;81.3;78.2;22.2;42.7;17.0;20.2;26.7;27.7;29.3;36.6;56.4;26.1;15.1;0;48.4;33.0;79.1;34.2;67.1;55.8
v15;34.0;30.5;26.2;71.2;31.6;31.1;25.1;36.8;40.3;44.8;82.8;28.5;37.8;48.4;0;42.5;31.8;38.1;102.5;93.8
v16;73.9;70.0;33.2;29.4;24.7;19.8;20.6;7.7;4.3;3.4;40.3;16.7;19.6;33.0;42.5;0;72.9;4.6;60.9;53.5
v17;4.8;6.2;56.2;102.2;63.0;62.9;56.9;68.1;71.3;74.4;113.1;60.2;69.6;79.1;31.8;72.9;0;22.7;91.9;125.3
v18;59.3;65.3;31.1;34.1;23.5;18.3;17.6;6.8;5.7;6.3;37.1;14.7;19.8;34.2;38.1;4.6;22.7;0;127.5;58.2
v19;134.9;131.0;84.9;31.5;75.4;73.2;77.9;65.7;62.4;59.9;23.1;74.2;67.6;67.1;102.5;60.9;91.9;127.5;0;1.9
v20;126.8;123.0;74.6;24.8;65.3;63.5;58.8;57.3;54.3;53.1;21.8;65.2;57.6;55.8;93.8;53.5;125.3;58.2;1.9;0
