;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20
v1;0;4.0;59.2;103.4;65.5;65.1;58.8;59.5;72.6;75.2;114.1;68.4;71.8;81.3;33.9;73.9;4.7;69.3;135.0;127.0
v2;4.0;0;56.1;99.5;62.1;61.6;55.2;65.6;68.7;71.3;109.9;58.3;68.3;78.2;30.5;70.0;6.2;65.4;131.1;123.1
v3;59.2;56.1;0;55.8;9.6;13.5;14.6;25.4;29.1;36.5;68.9;17.0;17.3;22.2;26.2;36.9;56.2;31.1;85.0;74.6
v4;103.4;99.5;55.8;0;46.1;43.0;47.1;34.4;30.9;28.5;13.3;43.3;38.4;43.1;71.3;29.4;102.3;34.1;31.6;24.9
v5;65.5;62.1;9.6;46.1;0;5.1;10.0;17.1;20.3;28.1;59.2;10.7;7.6;17.0;31.6;24.7;63.0;23.4;75.4;65.3
v6;65.1;61.6;13.5;43.0;5.1;0;6.7;12.1;15.5;23.1;56.6;6.0;6.6;20.1;31.1;19.8;63.0;18.3;73.2;63.5
v7;58.8;55.2;14.6;47.1;10.0;6.7;0;13.3;17.1;23.5;59.4;3.8;13.3;26.7;25.0;20.5;56.8;17.6;78.0;68.9
v8;59.5;65.6;25.4;34.4;17.1;12.1;13.3;0;3.7;11.0;46.3;9.3;12.9;27.7;36.8;7.6;68.1;6.7;65.7;57.3
v9;72.6;68.7;29.1;30.9;20.3;15.5;17.1;3.7;0;7.7;42.6;13.2;15.2;29.2;40.2;4.3;71.3;5.7;62.4;54.3
v10;75.2;71.3;36.5;28.5;28.1;23.1;23.5;11.0;7.7;0;38.7;19.8;23.0;36.5;44.5;3.3;74.4;6.3;60.0;53.0
v11;114.1;109.9;68.9;13.3;59.2;56.6;59.4;46.3;42.6;38.7;0;55.5;51.5;56.4;82.9;40.4;113.2;44.8;23.1;21.8
v12;68.4;58.3;17.0;43.3;10.7;6.0;3.8;9.3;13.2;19.8;55.5;0;11.5;26.1;28.4;16.6;60.2;14.1;74.3;65.3
v13;71.8;68.3;17.3;38.4;7.6;6.6;13.3;12.9;15.2;23.0;51.5;11.5;0;15.0;37.8;19.7;69.5;19.8;67.7;57.6
v14;81.3;78.2;22.2;43.1;17.0;20.1;26.7;27.7;29.2;36.5;56.4;26.1;15.0;0;47.8;33.3;78.4;34.3;68.0;56.7
v15;33.9;30.5;26.2;71.3;31.6;31.1;25.0;36.8;40.2;44.5;82.9;28.4;37.8;47.8;0;42.5;31.8;38.1;102.6;93.8
v16;73.9;70.0;36.9;29.4;24.7;19.8;20.5;7.6;4.3;3.3;40.4;16.6;19.7;33.3;42.5;0;72.9;4.5;61.1;53.5
v17;4.7;6.2;56.2;102.3;63.0;63.0;56.8;68.1;71.3;74.4;113.2;60.2;69.5;78.4;31.8;72.9;0;68.4;133.8;125.4
v18;69.3;65.4;31.1;34.1;23.4;18.3;17.6;6.7;5.7;6.3;44.8;14.1;19.8;34.3;38.1;4.5;68.4;0;65.6;58.2
v19;135.0;131.1;85.0;31.6;75.4;73.5;78.0;65.7;62.4;60.0;23.1;74.3;67.7;68.0;102.6;61.1;133.8;65.6;0;11.9
v20;127.0;123.1;74.6;24.9;65.3;63.5;68.9;57.3;54.3;53.0;21.8;65.3;57.6;56.7;93.8;53.1;125.4;58.2;11.9;0
